device_key,DeviceType,DeviceInfo
mobile|GT-P5113,mobile,GT-P5113
mobile|LG-H840 Build/NRD90U,mobile,LG-H840 Build/NRD90U
mobile|BAC-L03 Build/HUAWEIBAC-L03,mobile,BAC-L03 Build/HUAWEIBAC-L03
mobile|SAMSUNG SM-T810 Build/NRD90M,mobile,SAMSUNG SM-T810 Build/NRD90M
mobile|VS835,mobile,VS835
mobile|LG-TP450 Build/NRD90U,mobile,LG-TP450 Build/NRD90U
mobile|SM-J727V Build/NRD90M,mobile,SM-J727V Build/NRD90M
mobile|SM-G955F Build/NRD90M,mobile,SM-G955F Build/NRD90M
mobile|KFDOWI Build/LVY48F,mobile,KFDOWI Build/LVY48F
mobile|SM-J200M Build/LMY47X,mobile,SM-J200M Build/LMY47X
mobile|SM-J320H,mobile,SM-J320H
mobile|BLADE V8 SE Build/NRD90M,mobile,BLADE V8 SE Build/NRD90M
mobile|SM-N920T Build/NRD90M,mobile,SM-N920T Build/NRD90M
mobile|LG-H542 Build/MRA58K,mobile,LG-H542 Build/MRA58K
mobile|SM-T330NU Build/LMY47X,mobile,SM-T330NU Build/LMY47X
mobile|SAMSUNG SM-J500M Build/LMY48B,mobile,SAMSUNG SM-J500M Build/LMY48B
mobile|LG-M322,mobile,LG-M322
mobile|CHC-U03 Build/HuaweiCHC-U03,mobile,CHC-U03 Build/HuaweiCHC-U03
mobile|HTC Desire 650 Build/MMB29M,mobile,HTC Desire 650 Build/MMB29M
mobile|SAMSUNG-SM-G935A Build/NRD90M,mobile,SAMSUNG-SM-G935A Build/NRD90M
mobile|SM-G925I Build/NRD90M,mobile,SM-G925I Build/NRD90M
mobile|LG-K200 Build/MXB48T,mobile,LG-K200 Build/MXB48T
mobile|Aquaris,mobile,Aquaris
mobile|SM-J710MN Build/MMB29K,mobile,SM-J710MN Build/MMB29K
mobile|Alcatel_4060A,mobile,Alcatel_4060A
mobile|LGMS631 Build/MRA58K,mobile,LGMS631 Build/MRA58K
mobile|MOT-A6020l37 Build/LMY47V,mobile,MOT-A6020l37 Build/LMY47V
mobile|5011A Build/NRD90M,mobile,5011A Build/NRD90M
mobile|SM-T550 Build/NMF26X,mobile,SM-T550 Build/NMF26X
mobile|Moto G (5) Plus Build/NPNS25.137-15-11,mobile,Moto G (5) Plus Build/NPNS25.137-15-11
mobile|E6603 Build/32.4.A.1.54,mobile,E6603 Build/32.4.A.1.54
mobile|Redmi 4A Build/MMB29M,mobile,Redmi 4A Build/MMB29M
desktop|rv:55.0,desktop,rv:55.0
mobile|SM-T520,mobile,SM-T520
mobile|HTC Desire 10 lifestyle Build/MMB29M,mobile,HTC Desire 10 lifestyle Build/MMB29M
mobile|SM-A720F Build/MMB29K,mobile,SM-A720F Build/MMB29K
mobile|Moto G (5S,mobile,Moto G (5S
mobile|SM-G925I Build/LMY47X,mobile,SM-G925I Build/LMY47X
mobile|SM-G930R4 Build/NRD90M,mobile,SM-G930R4 Build/NRD90M
mobile|SAMSUNG SM-G610M Build/MMB29K,mobile,SAMSUNG SM-G610M Build/MMB29K
mobile|Lenovo K33b36 Build/NRD90N,mobile,Lenovo K33b36 Build/NRD90N
mobile|SM-G930U Build/NRD90M,mobile,SM-G930U Build/NRD90M
mobile|Moto Z2 Play Build/NPS26.118-19,mobile,Moto Z2 Play Build/NPS26.118-19
mobile|SAMSUNG SM-N950U Build/NMF26X,mobile,SAMSUNG SM-N950U Build/NMF26X
mobile|SM-A320FL Build/MMB29K,mobile,SM-A320FL Build/MMB29K
mobile|LG-M250 Build/NRD90U,mobile,LG-M250 Build/NRD90U
mobile|KFSAWI,mobile,KFSAWI
mobile|SAMSUNG SM-G930F Build/NRD90M,mobile,SAMSUNG SM-G930F Build/NRD90M
mobile|Lenovo K33b36 Build/MMB29M,mobile,Lenovo K33b36 Build/MMB29M
mobile|SAMSUNG SM-N920V Build/NRD90M,mobile,SAMSUNG SM-N920V Build/NRD90M
desktop|Windows NT 6.1,desktop,Windows NT 6.1
desktop|rv:45.0,desktop,rv:45.0
mobile|SAMSUNG-SM-J327A Build/NRD90M,mobile,SAMSUNG-SM-J327A Build/NRD90M
mobile|SM-G935V Build/NRD90M,mobile,SM-G935V Build/NRD90M
desktop|MDDRJS,desktop,MDDRJS
mobile|SM-G935P Build/NRD90M,mobile,SM-G935P Build/NRD90M
mobile|SM-G930P Build/NRD90M,mobile,SM-G930P Build/NRD90M
mobile|SM-G928V Build/NRD90M,mobile,SM-G928V Build/NRD90M
mobile|LG-M210 Build/NRD90U,mobile,LG-M210 Build/NRD90U
mobile|Blade V580 Build/LMY47D,mobile,Blade V580 Build/LMY47D
mobile|Ilium LT500 Build/LMY47O,mobile,Ilium LT500 Build/LMY47O
mobile|Y635-L03 Build/HuaweiY635-L03,mobile,Y635-L03 Build/HuaweiY635-L03
mobile|XT1635-01 Build/NDNS26.118-23-12-3,mobile,XT1635-01 Build/NDNS26.118-23-12-3
desktop|rv:42.0,desktop,rv:42.0
mobile|SAMSUNG SM-G925T Build/NRD90M,mobile,SAMSUNG SM-G925T Build/NRD90M
mobile|SAMSUNG-SM-G900A Build/LRX21T,mobile,SAMSUNG-SM-G900A Build/LRX21T
mobile|Moto Z (2,mobile,Moto Z (2
mobile|SM-G360T1 Build/LMY47X,mobile,SM-G360T1 Build/LMY47X
mobile|SM-S903VL,mobile,SM-S903VL
mobile|SAMSUNG SM-G920A Build/NRD90M,mobile,SAMSUNG SM-G920A Build/NRD90M
mobile|HUAWEI VNS-L23 Build/HUAWEIVNS-L23,mobile,HUAWEI VNS-L23 Build/HUAWEIVNS-L23
mobile|LG-H811 Build/MRA58K,mobile,LG-H811 Build/MRA58K
mobile|M4 SS4456 Build/LMY47V,mobile,M4 SS4456 Build/LMY47V
mobile|SAMSUNG-SM-T337A Build/LMY47X,mobile,SAMSUNG-SM-T337A Build/LMY47X
mobile|SAMSUNG SM-G955U Build/NRD90M,mobile,SAMSUNG SM-G955U Build/NRD90M
mobile|SM-G900P Build/MMB29M,mobile,SM-G900P Build/MMB29M
mobile|SM-G800F Build/KOT49H,mobile,SM-G800F Build/KOT49H
mobile|BNTV400,mobile,BNTV400
mobile|HUAWEI VNS-L21 Build/HUAWEIVNS-L21,mobile,HUAWEI VNS-L21 Build/HUAWEIVNS-L21
mobile|ONEPLUS A5000 Build/NMF26X,mobile,ONEPLUS A5000 Build/NMF26X
mobile|HTC Desire 626s Build/LMY47O,mobile,HTC Desire 626s Build/LMY47O
mobile|Android 4.4.2,mobile,Android 4.4.2
mobile|XT1710-02 Build/NDSS26.118-23-15,mobile,XT1710-02 Build/NDSS26.118-23-15
desktop|rv:49.0,desktop,rv:49.0
mobile|EVA-L09 Build/HUAWEIEVA-L09,mobile,EVA-L09 Build/HUAWEIEVA-L09
mobile|Lenovo,mobile,Lenovo
mobile|LG-K540 Build/MMB29M,mobile,LG-K540 Build/MMB29M
mobile|FRD-L04 Build/HUAWEIFRD-L04,mobile,FRD-L04 Build/HUAWEIFRD-L04
desktop|Linux x86_64,desktop,Linux x86_64
mobile|SAMSUNG SM-G935T Build/NRD90M,mobile,SAMSUNG SM-G935T Build/NRD90M
mobile|SM-G900M Build/LRX21T,mobile,SM-G900M Build/LRX21T
mobile|LG-H820 Build/NRD90U,mobile,LG-H820 Build/NRD90U
mobile|Z983 Build/NMF26F,mobile,Z983 Build/NMF26F
mobile|LGLS991,mobile,LGLS991
mobile|SM-S120VL,mobile,SM-S120VL
mobile|Le,mobile,Le
mobile|Ilium L1120 Build/NRD90M,mobile,Ilium L1120 Build/NRD90M
mobile|XT1650 Build/NCLS26.118-23-13-3,mobile,XT1650 Build/NCLS26.118-23-13-3
mobile|SM-T377P Build/NMF26X,mobile,SM-T377P Build/NMF26X
mobile|QTAQZ3 Build/LMY47V,mobile,QTAQZ3 Build/LMY47V
mobile|SM-A310M,mobile,SM-A310M
mobile|F5321,mobile,F5321
mobile|KFTBWI Build/LVY48F,mobile,KFTBWI Build/LVY48F
mobile|M4 SS4453 Build/MMB29M,mobile,M4 SS4453 Build/MMB29M
mobile|XT1064 Build/MPB24.65-34-3,mobile,XT1064 Build/MPB24.65-34-3
mobile|VS987 Build/NRD90U,mobile,VS987 Build/NRD90U
mobile|SM-G386T,mobile,SM-G386T
mobile|SAMSUNG-SM-N920A Build/NRD90M,mobile,SAMSUNG-SM-N920A Build/NRD90M
mobile|SAMSUNG SM-J727T1 Build/NRD90M,mobile,SAMSUNG SM-J727T1 Build/NRD90M
mobile|SAMSUNG SM-G532M Build/MMB29T,mobile,SAMSUNG SM-G532M Build/MMB29T
mobile|SM-G925T Build/NRD90M,mobile,SM-G925T Build/NRD90M
desktop|NetHelper70,desktop,NetHelper70
mobile|SAMSUNG SM-G890A Build/NRD90M,mobile,SAMSUNG SM-G890A Build/NRD90M
mobile|D5803 Build/23.5.A.1.291,mobile,D5803 Build/23.5.A.1.291
mobile|GT-I8190L Build/JZO54K,mobile,GT-I8190L Build/JZO54K
mobile|SM-A510M Build/LMY47X,mobile,SM-A510M Build/LMY47X
mobile|Nexus,mobile,Nexus
mobile|SM-T580 Build/NRD90M,mobile,SM-T580 Build/NRD90M
mobile|SM-G900V,mobile,SM-G900V
mobile|ZEIA8,mobile,ZEIA8
mobile|SM-N920P Build/NRD90M,mobile,SM-N920P Build/NRD90M
mobile|SM-T550,mobile,SM-T550
mobile|SAMSUNG SM-J320F Build/LMY47V,mobile,SAMSUNG SM-J320F Build/LMY47V
mobile|VS501 Build/NRD90U,mobile,VS501 Build/NRD90U
desktop|Linux i686,desktop,Linux i686
mobile|SM-G900P Build/LRX21T,mobile,SM-G900P Build/LRX21T
mobile|SM-N910H,mobile,SM-N910H
mobile|SM-G920F Build/NRD90M,mobile,SM-G920F Build/NRD90M
mobile|SM-T560 Build/KTU84P,mobile,SM-T560 Build/KTU84P
mobile|MotoE2(4G-LTE,mobile,MotoE2(4G-LTE
mobile|LG-H542 Build/LRX22G,mobile,LG-H542 Build/LRX22G
desktop|Touch,desktop,Touch
mobile|Moto G (5) Build/NPP25.137-82,mobile,Moto G (5) Build/NPP25.137-82
mobile|LG-X230 Build/MRA58K,mobile,LG-X230 Build/MRA58K
mobile|LG-K371,mobile,LG-K371
mobile|F3113 Build/33.3.A.1.97,mobile,F3113 Build/33.3.A.1.97
mobile|SM-T560NU Build/MMB29M,mobile,SM-T560NU Build/MMB29M
mobile|SAMSUNG SM-A520F Build/NRD90M,mobile,SAMSUNG SM-A520F Build/NRD90M
mobile|SM-P600 Build/LMY47X,mobile,SM-P600 Build/LMY47X
mobile|HTC U11 Build/NMF26X,mobile,HTC U11 Build/NMF26X
mobile|KFAPWI Build/KTU84M,mobile,KFAPWI Build/KTU84M
mobile|G3313,mobile,G3313
mobile|AX920,mobile,AX920
mobile|SM-J327VPP Build/NRD90M,mobile,SM-J327VPP Build/NRD90M
mobile|LG-M320 Build/NRD90U,mobile,LG-M320 Build/NRD90U
mobile|SM-G610F,mobile,SM-G610F
desktop|rv:54.0,desktop,rv:54.0
mobile|QMV7A,mobile,QMV7A
mobile|SM-T817V Build/NRD90M,mobile,SM-T817V Build/NRD90M
mobile|HTC Desire 530 Build/MMB29M,mobile,HTC Desire 530 Build/MMB29M
mobile|LG-LS998,mobile,LG-LS998
desktop|rv:41.0,desktop,rv:41.0
mobile|GT-P5210 Build/JDQ39,mobile,GT-P5210 Build/JDQ39
mobile|SM-J730F,mobile,SM-J730F
mobile|KFJWI,mobile,KFJWI
mobile|Moto G (5) Plus Build/NPN25.137-83,mobile,Moto G (5) Plus Build/NPN25.137-83
mobile|HTC Desire 510 Build/KOT49H,mobile,HTC Desire 510 Build/KOT49H
mobile|Android,mobile,Android
mobile|LG-H810,mobile,LG-H810
mobile|SM-G920P Build/NRD90M,mobile,SM-G920P Build/NRD90M
mobile|D6603 Build/23.5.A.1.291,mobile,D6603 Build/23.5.A.1.291
mobile|XT1650,mobile,XT1650
mobile|SM-G930F Build/NRD90M,mobile,SM-G930F Build/NRD90M
mobile|LGMS550 Build/NRD90U,mobile,LGMS550 Build/NRD90U
mobile|moto,mobile,moto
mobile|SM-A520F Build/NRD90M,mobile,SM-A520F Build/NRD90M
mobile|SM-G920T Build/NRD90M,mobile,SM-G920T Build/NRD90M
mobile|Fractal,mobile,Fractal
mobile|Moto E (4) Build/NMA26.42-69,mobile,Moto E (4) Build/NMA26.42-69
mobile|HUAWEI,mobile,HUAWEI
mobile|SM-T350 Build/NMF26X,mobile,SM-T350 Build/NMF26X
mobile|SAMSUNG SM-J730GM Build/NRD90M,mobile,SAMSUNG SM-J730GM Build/NRD90M
mobile|TA-1039 Build/N2G47H,mobile,TA-1039 Build/N2G47H
mobile|XT1003,mobile,XT1003
