case_id,customer_id
CC-0177,C01155
CC-0178,C07981
CC-0179,C12223
CC-0180,C11597
CC-0181,C01040
CC-0182,C01179
CC-0183,C09612
CC-0184,C02716
CC-0185,C11595
CC-0186,C09800
CC-0187,C10308
CC-0188,C04965
CC-0189,C03787
CC-0190,C11642
CC-0191,C12144
CC-0192,C09666
CC-0193,C03738
CC-0194,C03651
CC-0195,C10040
CC-0196,C02065
CC-0197,C04248
CC-0198,C02245
CC-0199,C11597
CC-0200,C02902
CC-0201,C08450
CC-0202,C01486
CC-0203,C11709
CC-0204,C07220
CC-0205,C06764
CC-0206,C04597
CC-0207,C10930
CC-0208,C04134
CC-0209,C05704
CC-0210,C06942
CC-0211,C11509
CC-0212,C01116
CC-0213,C12982
CC-0214,C04348
CC-0215,C01119
CC-0216,C05689
CC-0217,C00777
CC-0218,C11919
CC-0219,C11898
CC-0220,C02897
CC-0221,C02231
CC-0222,C02776
CC-0223,C06630
CC-0224,C01887
CC-0225,C07743
CC-0226,C02250
CC-0227,C07204
CC-0228,C06464
CC-0229,C00273
CC-0230,C00426
CC-0231,C08460
CC-0232,C07993
CC-0233,C06962
CC-0234,C12542
CC-0235,C09146
CC-0236,C02573
CC-0237,C05359
CC-0238,C07508
CC-0239,C13364
CC-0240,C09354
CC-0241,C11092
CC-0242,C01982
CC-0243,C00952
CC-0244,C01377
CC-0245,C01175
CC-0246,C03168
CC-0247,C02545
CC-0248,C03405
CC-0249,C01909
CC-0250,C08381
CC-0251,C06168
CC-0252,C05423
CC-0253,C11958
CC-0254,C09241
CC-0255,C02354
CC-0256,C06707
CC-0257,C02656
CC-0258,C04046
CC-0259,C11294
CC-0260,C06797
CC-0261,C01269
CC-0262,C09363
CC-0263,C05739
CC-0264,C02222
CC-0265,C11019
CC-0266,C06663
CC-0267,C06108
CC-0268,C12602
CC-0269,C08256
CC-0270,C07871
CC-0271,C11191
CC-0272,C02456
CC-0273,C09165
CC-0274,C05245
CC-0275,C10757
CC-0276,C12742
CC-0277,C01983
CC-0278,C13253
CC-0279,C03040
CC-0280,C10955
CC-0281,C10983
CC-0282,C03047
CC-0283,C11227
CC-0284,C13388
CC-0285,C08860
CC-0286,C07936
CC-0287,C05509
CC-0288,C08489
CC-0289,C05704
CC-0290,C11923
CC-0291,C06224
CC-0292,C03474
CC-0293,C04269
CC-0294,C00622
CC-0295,C03738
CC-0296,C10132
CC-0297,C03381
CC-0298,C05530
CC-0299,C08679
CC-0300,C11539
CC-0301,C07717
CC-0302,C03397
CC-0303,C07006
CC-0304,C08190
CC-0305,C12987
CC-0306,C12453
CC-0307,C06744
CC-0308,C09354
CC-0309,C08466
CC-0310,C04571
CC-0311,C06362
CC-0312,C11031
CC-0313,C07513
CC-0314,C10402
CC-0315,C01426
CC-0316,C03231
CC-0317,C11148
CC-0318,C11246
CC-0319,C13081
CC-0320,C12094
CC-0321,C01002
CC-0322,C04865
CC-0323,C11522
CC-0324,C13372
CC-0325,C11970
CC-0326,C10852
CC-0327,C07845
CC-0328,C02147
CC-0329,C11944
CC-0330,C00889
CC-0331,C09657
CC-0332,C10372
CC-0333,C04346
CC-0334,C11847
CC-0335,C13449
CC-0336,C02780
CC-0337,C02181
CC-0338,C02231
CC-0339,C08482
CC-0340,C07212
CC-0341,C00810
CC-0342,C12961
CC-0343,C01719
CC-0344,C08989
CC-0345,C10955
CC-0346,C10840
CC-0347,C02809
CC-0348,C03427
CC-0349,C03108
CC-0350,C09296
CC-0351,C01890
CC-0352,C12861
CC-0353,C00488
CC-0354,C11951
CC-0355,C06121
CC-0356,C07295
CC-0357,C11844
CC-0358,C01104
CC-0359,C03676
CC-0360,C08450
CC-0361,C02477
CC-0362,C08489
CC-0363,C09806
CC-0364,C01155
CC-0365,C06630
CC-0366,C02573
CC-0367,C09344
CC-0368,C00557
CC-0369,C11381
CC-0370,C12982
CC-0371,C04196
CC-0372,C11352
CC-0373,C11496
CC-0374,C07615
CC-0375,C07204
CC-0376,C07993
CC-0377,C03285
CC-0378,C02740
CC-0379,C02545
CC-0380,C11597
CC-0381,C05791
CC-0382,C08366
CC-0383,C05704
CC-0384,C03264
CC-0385,C11294
CC-0386,C11460
CC-0387,C00854
CC-0388,C11173
CC-0389,C03360
CC-0390,C04965
CC-0391,C08860
CC-0392,C12680
CC-0393,C09521
CC-0394,C02231
CC-0395,C08913
CC-0396,C02842
CC-0397,C05263
CC-0398,C05245
CC-0399,C05031
CC-0400,C00008
CC-0401,C07508
CC-0402,C00488
CC-0403,C12966
CC-0404,C11509
CC-0405,C02354
CC-0406,C09872
CC-0407,C02480
CC-0408,C10032
CC-0409,C03341
CC-0410,C12961
CC-0411,C12900
CC-0412,C02715
CC-0413,C03341
CC-0414,C07073
CC-0415,C02902
CC-0416,C00938
CC-0417,C09354
CC-0418,C11787
CC-0419,C03898
CC-0420,C05942
CC-0421,C09301
CC-0422,C11082
CC-0423,C05704
CC-0424,C07981
CC-0425,C02250
CC-0426,C09579
CC-0427,C01966
CC-0428,C05504
CC-0429,C08962
CC-0430,C07703
CC-0431,C00728
CC-0432,C06324
CC-0433,C06872
CC-0434,C01525
CC-0435,C12656
CC-0436,C10568
CC-0437,C07855
CC-0438,C01521
CC-0439,C11915
CC-0440,C02181
CC-0441,C02882
CC-0442,C09868
CC-0443,C09286
CC-0444,C06655
CC-0445,C00477
CC-0446,C00426
CC-0447,C10955
CC-0448,C06299
CC-0449,C10519
CC-0450,C03575
CC-0451,C02279
CC-0452,C11000
CC-0453,C09657
CC-0454,C02354
CC-0455,C11709
CC-0456,C06962
CC-0457,C03992
CC-0458,C04571
CC-0459,C02250
CC-0460,C13440
CC-0461,C13527
CC-0462,C04108
CC-0463,C04034
CC-0464,C02231
CC-0465,C02320
CC-0466,C13081
CC-0467,C13171
CC-0468,C08917
CC-0469,C06744
CC-0470,C10139
CC-0471,C00796
CC-0472,C11958
CC-0473,C03019
CC-0474,C09206
CC-0475,C06224
CC-0476,C07338
CC-0477,C07741
CC-0478,C01719
CC-0479,C03465
CC-0480,C00750
CC-0481,C12641
CC-0482,C11844
CC-0483,C06257
CC-0484,C05302
CC-0485,C08161
CC-0486,C03933
CC-0487,C06210
CC-0488,C00889
CC-0489,C06464
CC-0490,C09363
CC-0491,C11539
CC-0492,C12703
CC-0493,C04709
CC-0494,C09471
CC-0495,C05245
CC-0496,C07562
CC-0497,C09791
CC-0498,C11309
CC-0499,C06026
CC-0500,C12861
CC-0501,C06549
CC-0502,C02882
CC-0503,C06906
CC-0504,C04046
CC-0505,C13410
CC-0506,C01521
CC-0507,C12258
CC-0508,C02740
CC-0509,C03427
CC-0510,C05704
CC-0511,C07847
CC-0512,C07867
CC-0513,C12011
CC-0514,C03019
CC-0515,C01119
CC-0516,C10273
CC-0517,C08947
CC-0518,C08831
CC-0519,C03278
CC-0520,C11597
CC-0521,C12094
CC-0522,C05986
CC-0523,C08489
CC-0524,C10010
CC-0525,C00076
CC-0526,C01954
CC-0527,C10585
CC-0528,C13447
CC-0529,C00329
CC-0530,C11865
CC-0531,C10837
CC-0532,C11031
CC-0533,C06855
CC-0534,C11001
CC-0535,C00294
CC-0536,C12598
CC-0537,C11970
CC-0538,C02780
CC-0539,C12166
CC-0540,C03360
CC-0541,C06630
CC-0542,C05307
CC-0543,C03550
CC-0544,C10955
CC-0545,C04346
CC-0546,C13450
CC-0547,C11919
CC-0548,C09241
CC-0549,C01846
CC-0550,C01864
CC-0551,C07841
CC-0552,C07981
CC-0553,C07981
CC-0554,C01721
CC-0555,C13058
CC-0556,C02708
CC-0557,C11000
CC-0558,C02971
CC-0559,C09274
CC-0560,C11509
CC-0561,C09259
CC-0562,C11352
CC-0563,C11859
CC-0564,C13249
CC-0565,C05203
CC-0566,C06658
CC-0567,C03517
CC-0568,C02740
CC-0569,C02902
CC-0570,C12942
CC-0571,C02589
CC-0572,C01856
CC-0573,C00912
CC-0574,C08587
CC-0575,C03999
CC-0576,C00259
CC-0577,C03558
CC-0578,C02716
CC-0579,C13372
CC-0580,C05797
CC-0581,C01656
CC-0582,C01226
CC-0583,C11916
CC-0584,C07855
CC-0585,C08994
CC-0586,C04269
CC-0587,C11416
CC-0588,C10308
CC-0589,C01987
CC-0590,C03285
CC-0591,C00750
CC-0592,C05678
CC-0593,C11709
CC-0594,C10266
CC-0595,C04865
CC-0596,C01333
CC-0597,C05289
CC-0598,C07990
CC-0599,C06166
CC-0600,C01435
CC-0601,C06031
CC-0602,C08614
CC-0603,C09791
CC-0604,C12897
CC-0605,C06728
CC-0606,C11637
CC-0607,C08945
CC-0608,C10422
CC-0609,C02466
CC-0610,C04146
CC-0611,C07149
CC-0612,C11702
CC-0613,C00889
CC-0614,C12111
CC-0615,C03042
CC-0616,C04650
CC-0617,C09443
CC-0618,C03575
CC-0619,C07336
CC-0620,C11798
CC-0621,C03066
CC-0622,C03288
CC-0623,C08450
CC-0624,C00051
CC-0625,C04248
CC-0626,C06220
CC-0627,C05977
CC-0628,C01116
CC-0629,C02444
CC-0630,C05128
CC-0631,C02354
CC-0632,C07513
CC-0633,C02250
CC-0634,C11061
CC-0635,C03231
CC-0636,C09800
CC-0637,C07164
CC-0638,C05410
CC-0639,C01104
CC-0640,C12132
CC-0641,C01922
CC-0642,C06006
CC-0643,C04046
CC-0644,C06403
CC-0645,C00768
CC-0646,C11958
CC-0647,C01123
CC-0648,C00094
CC-0649,C04549
CC-0650,C08746
CC-0651,C00978
CC-0652,C12681
CC-0653,C01109
CC-0654,C03843
CC-0655,C13410
CC-0656,C06362
CC-0657,C09933
CC-0658,C03184
CC-0659,C10632
CC-0660,C04072
CC-0661,C03040
CC-0662,C01138
CC-0663,C12094
CC-0664,C13389
CC-0665,C02814
CC-0666,C05753
CC-0667,C10585
CC-0668,C06464
CC-0669,C10766
CC-0670,C02182
CC-0671,C01525
CC-0672,C08707
CC-0673,C00725
CC-0674,C07957
CC-0675,C07901
CC-0676,C06341
CC-0677,C10933
CC-0678,C04024
CC-0679,C00094
CC-0680,C12007
CC-0681,C00534
CC-0682,C13037
CC-0683,C01182
CC-0684,C09586
CC-0685,C07870
CC-0686,C04775
CC-0687,C01529
CC-0688,C09354
CC-0689,C08797
CC-0690,C09666
CC-0691,C00750
CC-0692,C03271
CC-0693,C02545
CC-0694,C13440
CC-0695,C11000
CC-0696,C08106
CC-0697,C06630
CC-0698,C03278
CC-0699,C11558
CC-0700,C05381
CC-0701,C12448
CC-0702,C09908
CC-0703,C06962
CC-0704,C10568
CC-0705,C07212
CC-0706,C13364
CC-0707,C11413
CC-0708,C10164
CC-0709,C02921
CC-0710,C07311
CC-0711,C11309
CC-0712,C13372
CC-0713,C11807
CC-0714,C06598
CC-0715,C02181
CC-0716,C02231
CC-0717,C02999
CC-0718,C12861
CC-0719,C07204
CC-0720,C00854
CC-0721,C11496
CC-0722,C09043
CC-0723,C01727
CC-0724,C00294
CC-0725,C07997
CC-0726,C07452
CC-0727,C12476
CC-0728,C03341
CC-0729,C11187
CC-0730,C00426
CC-0731,C10799
CC-0732,C05704
CC-0733,C12591
CC-0734,C10024
CC-0735,C01578
CC-0736,C09666
CC-0737,C05684
CC-0738,C06744
CC-0739,C04446
CC-0740,C09246
CC-0741,C07050
CC-0742,C00768
CC-0743,C12626
CC-0744,C01909
CC-0745,C05753
CC-0746,C03285
CC-0747,C13190
CC-0748,C00983
CC-0749,C11919
CC-0750,C11509
CC-0751,C10308
CC-0752,C08450
CC-0753,C05245
CC-0754,C10137
CC-0755,C11597
CC-0756,C09554
CC-0757,C11529
CC-0758,C12250
CC-0759,C10266
CC-0760,C11855
CC-0761,C01953
CC-0762,C07867
CC-0763,C01782
CC-0764,C11031
CC-0765,C09933
CC-0766,C09301
CC-0767,C02902
CC-0768,C13139
CC-0769,C10320
CC-0770,C06420
CC-0771,C09241
CC-0772,C13171
CC-0773,C05127
CC-0774,C01116
CC-0775,C09314
CC-0776,C11852
CC-0777,C11055
CC-0778,C01881
CC-0779,C12942
CC-0780,C07518
CC-0781,C11269
CC-0782,C12982
CC-0783,C08424
CC-0784,C05307
CC-0785,C03047
CC-0786,C10771
CC-0787,C00649
CC-0788,C07341
CC-0789,C12420
CC-0790,C02214
CC-0791,C02749
CC-0792,C07360
CC-0793,C09471
CC-0794,C10149
CC-0795,C09872
CC-0796,C01333
CC-0797,C02266
CC-0798,C02082
CC-0799,C11343
CC-0800,C07220
CC-0801,C10760
CC-0802,C10459
CC-0803,C04435
CC-0804,C12680
CC-0805,C09800
CC-0806,C13249
CC-0807,C08374
CC-0808,C05302
CC-0809,C07910
CC-0810,C12517
CC-0811,C11958
CC-0812,C11294
CC-0813,C00854
CC-0814,C05175
CC-0815,C06220
CC-0816,C02780
CC-0817,C06265
CC-0818,C08637
CC-0819,C02436
CC-0820,C11944
CC-0821,C10364
CC-0822,C10127
CC-0823,C02342
CC-0824,C12900
CC-0825,C08489
CC-0826,C11873
CC-0827,C08593
CC-0828,C11237
CC-0829,C04597
CC-0830,C09868
CC-0831,C07847
CC-0832,C07957
CC-0833,C10998
CC-0834,C04361
CC-0835,C11143
CC-0836,C13019
CC-0837,C08190
CC-0838,C10955
CC-0839,C04726
CC-0840,C11159
CC-0841,C00331
CC-0842,C04248
CC-0843,C11298
CC-0844,C08348
CC-0845,C00306
CC-0846,C06511
CC-0847,C06682
CC-0848,C07223
CC-0849,C03095
CC-0850,C06121
CC-0851,C02646
CC-0852,C10986
CC-0853,C10026
CC-0854,C08989
CC-0855,C01525
CC-0856,C11397
CC-0857,C12961
CC-0858,C06403
CC-0859,C09508
CC-0860,C03285
CC-0861,C10264
CC-0862,C01104
CC-0863,C00409
CC-0864,C09468
CC-0865,C02456
CC-0866,C05472
CC-0867,C01154
CC-0868,C02809
CC-0869,C08662
CC-0870,C13007
CC-0871,C11730
CC-0872,C11792
CC-0873,C10434
CC-0874,C08894
CC-0875,C08014
CC-0876,C08281
CC-0877,C07878
CC-0878,C09420
CC-0879,C06228
CC-0880,C02205
CC-0881,C08072
CC-0882,C02566
CC-0883,C00259
CC-0884,C06026
CC-0885,C04759
CC-0886,C01569
CC-0887,C04840
CC-0888,C11190
CC-0889,C05061
CC-0890,C03467
CC-0891,C06940
CC-0892,C06190
CC-0893,C06663
CC-0894,C12061
CC-0895,C07638
CC-0896,C12002
CC-0897,C10364
CC-0898,C01563
CC-0899,C06837
CC-0900,C04968
CC-0901,C12276
CC-0902,C08269
CC-0903,C07102
CC-0904,C05551
CC-0905,C11080
CC-0906,C06677
CC-0907,C03252
CC-0908,C06320
CC-0909,C01482
CC-0910,C02387
CC-0911,C12900
CC-0912,C12920
CC-0913,C10957
CC-0914,C07686
CC-0915,C02883
CC-0916,C07204
CC-0917,C12267
CC-0918,C07096
CC-0919,C01983
CC-0920,C05192
CC-0921,C04277
CC-0922,C13190
CC-0923,C10224
CC-0924,C10715
CC-0925,C04741
CC-0926,C07227
CC-0927,C07925
CC-0928,C11509
CC-0929,C01823
CC-0930,C09363
CC-0931,C01244
CC-0932,C11000
CC-0933,C10507
CC-0934,C10871
CC-0935,C12991
CC-0936,C08190
CC-0937,C02472
CC-0938,C10485
CC-0939,C01408
CC-0940,C10215
CC-0941,C05230
CC-0942,C12517
CC-0943,C11444
CC-0944,C03231
CC-0945,C12971
CC-0946,C07171
CC-0947,C05303
CC-0948,C06855
CC-0949,C11323
CC-0950,C06988
CC-0951,C08845
CC-0952,C03750
CC-0953,C10615
CC-0954,C12738
CC-0955,C10849
CC-0956,C00019
CC-0957,C09882
CC-0958,C01755
CC-0959,C01119
CC-0960,C06744
CC-0961,C09800
CC-0962,C10883
CC-0963,C10755
CC-0964,C00844
CC-0965,C11164
CC-0966,C11543
CC-0967,C06331
CC-0968,C11413
CC-0969,C04172
CC-0970,C07826
CC-0971,C11065
CC-0972,C08315
CC-0973,C00790
CC-0974,C13005
CC-0975,C05307
CC-0976,C00294
CC-0977,C00235
CC-0978,C03786
CC-0979,C07698
CC-0980,C06962
CC-0981,C04125
CC-0982,C08918
CC-0983,C04928
CC-0984,C01196
CC-0985,C05533
CC-0986,C09583
CC-0987,C05992
CC-0988,C07311
CC-0989,C00750
CC-0990,C12028
CC-0991,C10760
CC-0992,C10924
CC-0993,C13147
CC-0994,C01403
CC-0995,C09063
CC-0996,C13086
CC-0997,C00583
CC-0998,C00952
CC-0999,C00557
CC-1000,C12889
CC-1001,C02800
CC-1002,C09241
CC-1003,C11844
CC-1004,C04537
CC-1005,C11309
CC-1006,C07919
CC-1007,C06906
CC-1008,C02121
CC-1009,C10585
CC-1010,C13447
CC-1011,C02545
CC-1012,C03363
CC-1013,C04134
CC-1014,C01301
CC-1015,C02716
CC-1016,C13067
CC-1017,C12942
CC-1018,C09806
CC-1019,C04754
CC-1020,C06215
CC-1021,C08256
CC-1022,C06708
CC-1023,C03278
CC-1024,C03770
CC-1025,C02055
CC-1026,C08831
CC-1027,C11513
CC-1028,C02177
CC-1029,C10026
CC-1030,C10553
CC-1031,C07685
CC-1032,C07761
CC-1033,C00768
CC-1034,C06224
CC-1035,C00466
CC-1036,C06001
CC-1037,C01063
CC-1038,C13364
CC-1039,C11000
CC-1040,C06373
CC-1041,C12947
CC-1042,C02188
CC-1043,C03341
CC-1044,C04710
CC-1045,C06420
CC-1046,C07149
CC-1047,C12913
CC-1048,C04117
CC-1049,C03485
CC-1050,C08438
CC-1051,C03539
CC-1052,C01392
CC-1053,C00299
CC-1054,C13492
CC-1055,C11496
CC-1056,C11923
CC-1057,C04077
CC-1058,C01744
CC-1059,C01347
CC-1060,C00887
CC-1061,C06147
CC-1062,C02756
CC-1063,C07212
CC-1064,C09657
CC-1065,C01137
CC-1066,C12382
CC-1067,C00450
CC-1068,C07338
CC-1069,C06630
CC-1070,C12309
CC-1071,C11539
CC-1072,C05155
CC-1073,C00329
CC-1074,C05245
CC-1075,C08943
CC-1076,C07646
CC-1077,C08302
CC-1078,C04346
CC-1079,C06694
CC-1080,C01119
CC-1081,C13175
CC-1082,C07513
CC-1083,C10502
CC-1084,C09092
CC-1085,C09848
CC-1086,C03066
CC-1087,C07791
CC-1088,C11444
CC-1089,C03360
CC-1090,C06996
CC-1091,C10305
CC-1092,C13332
CC-1093,C05423
CC-1094,C12942
CC-1095,C01730
CC-1096,C00263
CC-1097,C03872
CC-1098,C10164
CC-1099,C06663
CC-1100,C11586
CC-1101,C13086
CC-1102,C04108
CC-1103,C09274
CC-1104,C05307
CC-1105,C00796
CC-1106,C01855
CC-1107,C09681
CC-1108,C08662
CC-1109,C01961
CC-1110,C03146
CC-1111,C02627
CC-1112,C03303
CC-1113,C12961
CC-1114,C12417
CC-1115,C01500
CC-1116,C12897
CC-1117,C05600
CC-1118,C12063
CC-1119,C05467
CC-1120,C08190
CC-1121,C05097
CC-1122,C00997
CC-1123,C11429
CC-1124,C12930
CC-1125,C01109
CC-1126,C05398
CC-1127,C07130
CC-1128,C08363
CC-1129,C06024
CC-1130,C06343
CC-1131,C09055
CC-1132,C04729
CC-1133,C09354
CC-1134,C07870
CC-1135,C01614
CC-1136,C00854
CC-1137,C00178
CC-1138,C09902
CC-1139,C00294
CC-1140,C02456
CC-1141,C01521
CC-1142,C06630
CC-1143,C04533
CC-1144,C11143
CC-1145,C11031
CC-1146,C05689
CC-1147,C07220
CC-1148,C11227
CC-1149,C10455
CC-1150,C11958
CC-1151,C05485
CC-1152,C05192
CC-1153,C00952
CC-1154,C07638
CC-1155,C01909
CC-1156,C04865
CC-1157,C04537
CC-1158,C02809
CC-1159,C07841
CC-1160,C06121
CC-1161,C11807
CC-1162,C10346
CC-1163,C11533
CC-1164,C09663
CC-1165,C05853
CC-1166,C07981
CC-1167,C11041
CC-1168,C01935
CC-1169,C06464
CC-1170,C11595
CC-1171,C08489
CC-1172,C11294
CC-1173,C03285
CC-1174,C09394
CC-1175,C09365
CC-1176,C06947
CC-1177,C08646
CC-1178,C09246
CC-1179,C11458
CC-1180,C08723
CC-1181,C13364
CC-1182,C03136
CC-1183,C09823
CC-1184,C10690
CC-1185,C08850
CC-1186,C01138
CC-1187,C04893
CC-1188,C04437
CC-1189,C03218
CC-1190,C09445
CC-1191,C09855
CC-1192,C03363
CC-1193,C10559
CC-1194,C02573
CC-1195,C05381
CC-1196,C12532
CC-1197,C06059
CC-1198,C07073
CC-1199,C07708
CC-1200,C11919
CC-1201,C10343
CC-1202,C12707
CC-1203,C07784
CC-1204,C02949
CC-1205,C10574
CC-1206,C10757
CC-1207,C10010
CC-1208,C00777
CC-1209,C09742
CC-1210,C05560
CC-1211,C08541
CC-1212,C02285
CC-1213,C10476
CC-1214,C05791
CC-1215,C02545
CC-1216,C04046
CC-1217,C04034
CC-1218,C10114
CC-1219,C13372
CC-1220,C09294
CC-1221,C02716
CC-1222,C01618
CC-1223,C09359
CC-1224,C03433
CC-1225,C02902
CC-1226,C12900
CC-1227,C12203
CC-1228,C09933
CC-1229,C05029
CC-1230,C06669
CC-1231,C11496
CC-1232,C13241
CC-1233,C05479
CC-1234,C04775
CC-1235,C08962
CC-1236,C05772
CC-1237,C05245
CC-1238,C00942
CC-1239,C04134
CC-1240,C12450
CC-1241,C08391
CC-1242,C11847
CC-1243,C07855
CC-1244,C01797
CC-1245,C12987
CC-1246,C01966
CC-1247,C09490
CC-1248,C09720
CC-1249,C09927
CC-1250,C09365
CC-1251,C08140
CC-1252,C10957
CC-1253,C01982
CC-1254,C10999
CC-1255,C10955
CC-1256,C09301
CC-1257,C09241
CC-1258,C03278
CC-1259,C08186
CC-1260,C08347
CC-1261,C00532
CC-1262,C08222
CC-1263,C11309
CC-1264,C08965
CC-1265,C10016
CC-1266,C00450
CC-1267,C07247
CC-1268,C03125
CC-1269,C02477
CC-1270,C03019
CC-1271,C01116
CC-1272,C07253
CC-1273,C06663
CC-1274,C09683
CC-1275,C10837
CC-1276,C04105
CC-1277,C08011
CC-1278,C03427
CC-1279,C08918
CC-1280,C00353
CC-1281,C07741
CC-1282,C08841
CC-1283,C09687
CC-1284,C02949
CC-1285,C01755
CC-1286,C03773
CC-1287,C05826
CC-1288,C05307
CC-1289,C01155
CC-1290,C09251
CC-1291,C03714
CC-1292,C09471
CC-1293,C13171
CC-1294,C08943
CC-1295,C06897
CC-1296,C00294
CC-1297,C12094
CC-1298,C06940
CC-1299,C07646
CC-1300,C11597
CC-1301,C06362
CC-1302,C10422
CC-1303,C01155
CC-1304,C09026
CC-1305,C07686
CC-1306,C05770
CC-1307,C04046
CC-1308,C06630
CC-1309,C07648
CC-1310,C03656
CC-1311,C01534
CC-1312,C12897
CC-1313,C03042
CC-1314,C05467
CC-1315,C12982
CC-1316,C06079
CC-1317,C01115
CC-1318,C12111
CC-1319,C00952
CC-1320,C11704
CC-1321,C12758
CC-1322,C06851
CC-1323,C06240
CC-1324,C05106
CC-1325,C04313
CC-1326,C12748
CC-1327,C03295
CC-1328,C12517
CC-1329,C07867
CC-1330,C11227
CC-1331,C01040
CC-1332,C01119
CC-1333,C08372
CC-1334,C10364
CC-1335,C11642
CC-1336,C07687
CC-1337,C05551
CC-1338,C00750
CC-1339,C06420
CC-1340,C04068
CC-1341,C11919
CC-1342,C04571
CC-1343,C06728
CC-1344,C13521
CC-1345,C07919
CC-1346,C13388
CC-1347,C01377
CC-1348,C09363
CC-1349,C03066
CC-1350,C09354
CC-1351,C04715
CC-1352,C01828
CC-1353,C13432
CC-1354,C08489
CC-1355,C09149
CC-1356,C08269
CC-1357,C11000
CC-1358,C00259
CC-1359,C04307
CC-1360,C11554
CC-1361,C05116
CC-1362,C01599
CC-1363,C08040
CC-1364,C08483
CC-1365,C01721
CC-1366,C11143
CC-1367,C05381
CC-1368,C00889
CC-1369,C05127
CC-1370,C10578
CC-1371,C13249
CC-1372,C04346
CC-1373,C02716
CC-1374,C01812
CC-1375,C07678
CC-1376,C06744
CC-1377,C01513
CC-1378,C06835
CC-1379,C06464
CC-1380,C08611
CC-1381,C07729
CC-1382,C03278
CC-1383,C04570
CC-1384,C12717
CC-1385,C11509
CC-1386,C07256
CC-1387,C08646
CC-1388,C06059
CC-1389,C11092
CC-1390,C02147
CC-1391,C06084
CC-1392,C11458
CC-1393,C08971
CC-1394,C10639
CC-1395,C12942
CC-1396,C07655
CC-1397,C02193
CC-1398,C01365
