card_key,card1,card2,card3,card4,card5,card6
16300|327.0|150.0|discover|102.0|credit,16300,327.0,150.0,discover,102.0,credit
10517|150.0|150.0|visa|226.0|debit,10517,150.0,150.0,visa,226.0,debit
22904|375.0|185.0|mastercard|224.0|debit,22904,375.0,185.0,mastercard,224.0,debit
21703|490.0|150.0|visa|226.0|debit,21703,490.0,150.0,visa,226.0,debit
12833|600.0|150.0|visa|226.0|debit,12833,600.0,150.0,visa,226.0,debit
19707|225.0|150.0|mastercard|117.0|debit,19707,225.0,150.0,mastercard,117.0,debit
22941|321.0|150.0|visa|226.0|credit,22941,321.0,150.0,visa,226.0,credit
20698|555.0|147.0|mastercard|126.0|debit,20698,555.0,147.0,mastercard,126.0,debit
22862|310.0|150.0|mastercard|224.0|debit,22862,310.0,150.0,mastercard,224.0,debit
13556|215.0|150.0|visa|226.0|debit,13556,215.0,150.0,visa,226.0,debit
17519||150.0|visa|166.0|debit,17519,,150.0,visa,166.0,debit
15600|432.0|150.0|visa|226.0|debit,15600,432.0,150.0,visa,226.0,debit
18632|555.0|150.0|visa|226.0|debit,18632,555.0,150.0,visa,226.0,debit
12525|270.0|150.0|visa|166.0|debit,12525,270.0,150.0,visa,166.0,debit
10709|490.0|150.0|visa|226.0|debit,10709,490.0,150.0,visa,226.0,debit
13515|492.0|150.0|visa|226.0|debit,13515,492.0,150.0,visa,226.0,debit
21040|490.0|150.0|visa|226.0|debit,21040,490.0,150.0,visa,226.0,debit
11757|191.0|150.0|visa|226.0|debit,11757,191.0,150.0,visa,226.0,debit
17912|555.0|150.0|visa|226.0|debit,17912,555.0,150.0,visa,226.0,debit
15620|545.0|185.0|visa|226.0|credit,15620,545.0,185.0,visa,226.0,credit
14674|543.0|150.0|mastercard|224.0|debit,14674,543.0,150.0,mastercard,224.0,debit
17283|393.0|150.0|mastercard|117.0|debit,17283,393.0,150.0,mastercard,117.0,debit
23330|599.0|150.0|visa|166.0|debit,23330,599.0,150.0,visa,166.0,debit
12520|369.0|150.0|mastercard|224.0|debit,12520,369.0,150.0,mastercard,224.0,debit
14251|429.0|150.0|visa|226.0|debit,14251,429.0,150.0,visa,226.0,debit
12382|583.0|150.0|visa|195.0|credit,12382,583.0,150.0,visa,195.0,credit
22413|268.0|150.0|visa|166.0|debit,22413,268.0,150.0,visa,166.0,debit
22474|481.0|150.0|visa|226.0|credit,22474,481.0,150.0,visa,226.0,credit
23354|310.0|150.0|mastercard|224.0|debit,23354,310.0,150.0,mastercard,224.0,debit
13027|375.0|185.0|mastercard|224.0|debit,13027,375.0,185.0,mastercard,224.0,debit
20446|555.0|150.0|visa|166.0|debit,20446,555.0,150.0,visa,166.0,debit
23232|174.0|150.0|visa|226.0|debit,23232,174.0,150.0,visa,226.0,debit
17736|264.0|150.0|visa|226.0|credit,17736,264.0,150.0,visa,226.0,credit
18799|555.0|150.0|visa|226.0|debit,18799,555.0,150.0,visa,226.0,debit
20646||150.0|visa|166.0|debit,20646,,150.0,visa,166.0,debit
20080|555.0|150.0|mastercard|117.0|debit,20080,555.0,150.0,mastercard,117.0,debit
14447|111.0|150.0|mastercard|219.0|credit,14447,111.0,150.0,mastercard,219.0,credit
18228|571.0|150.0|visa|226.0|debit,18228,571.0,150.0,visa,226.0,debit
16376|181.0|150.0|visa|141.0|credit,16376,181.0,150.0,visa,141.0,credit
15326|111.0|150.0|visa|226.0|debit,15326,111.0,150.0,visa,226.0,debit
15876|514.0|150.0|visa|226.0|credit,15876,514.0,150.0,visa,226.0,credit
20397|514.0|150.0|mastercard|224.0|credit,20397,514.0,150.0,mastercard,224.0,credit
21174|269.0|150.0|mastercard|224.0|debit,21174,269.0,150.0,mastercard,224.0,debit
18031|529.0|150.0|visa|162.0|credit,18031,529.0,150.0,visa,162.0,credit
21097|433.0|150.0|visa|226.0|credit,21097,433.0,150.0,visa,226.0,credit
14761|170.0|150.0|visa|195.0|credit,14761,170.0,150.0,visa,195.0,credit
16144|417.0|150.0|visa|226.0|debit,16144,417.0,150.0,visa,226.0,debit
22902|100.0|150.0|visa|226.0|credit,22902,100.0,150.0,visa,226.0,credit
13321|453.0|150.0|visa|226.0|debit,13321,453.0,150.0,visa,226.0,debit
20787|194.0|150.0|mastercard|166.0|debit,20787,194.0,150.0,mastercard,166.0,debit
18478|266.0|185.0|mastercard|224.0|debit,18478,266.0,185.0,mastercard,224.0,debit
12346|452.0|150.0|mastercard|117.0|debit,12346,452.0,150.0,mastercard,117.0,debit
17443|420.0|150.0|mastercard|117.0|debit,17443,420.0,150.0,mastercard,117.0,debit
11561|561.0|150.0|mastercard|224.0|credit,11561,561.0,150.0,mastercard,224.0,credit
12537|555.0|150.0|visa|166.0|debit,12537,555.0,150.0,visa,166.0,debit
23089|111.0|150.0|visa|226.0|debit,23089,111.0,150.0,visa,226.0,debit
13095|490.0|150.0|visa||credit,13095,490.0,150.0,visa,,credit
11520|476.0|150.0|visa|166.0|debit,11520,476.0,150.0,visa,166.0,debit
22914|194.0|150.0|mastercard|202.0|debit,22914,194.0,150.0,mastercard,202.0,debit
12971|481.0|150.0|mastercard|102.0|credit,12971,481.0,150.0,mastercard,102.0,credit
15052|361.0|150.0|visa|226.0|credit,15052,361.0,150.0,visa,226.0,credit
20009|490.0|150.0|visa|195.0|debit,20009,490.0,150.0,visa,195.0,debit
18618|297.0|150.0|visa|166.0|debit,18618,297.0,150.0,visa,166.0,debit
22461|558.0|150.0|visa|226.0|debit,22461,558.0,150.0,visa,226.0,debit
22583|562.0|150.0|mastercard|102.0|credit,22583,562.0,150.0,mastercard,102.0,credit
20892|514.0|150.0|mastercard|224.0|debit,20892,514.0,150.0,mastercard,224.0,debit
14469|392.0|150.0|mastercard|117.0|debit,14469,392.0,150.0,mastercard,117.0,debit
12303|161.0|150.0|mastercard|219.0|credit,12303,161.0,150.0,mastercard,219.0,credit
10099|490.0|150.0|visa|226.0|debit,10099,490.0,150.0,visa,226.0,debit
16862||150.0|visa|226.0|debit,16862,,150.0,visa,226.0,debit
23024|111.0|150.0|mastercard|219.0|credit,23024,111.0,150.0,mastercard,219.0,credit
11753|203.0|150.0|visa|166.0|debit,11753,203.0,150.0,visa,166.0,debit
15928|111.0|150.0|mastercard|166.0|debit,15928,111.0,150.0,mastercard,166.0,debit
14332|512.0|150.0|visa|226.0|debit,14332,512.0,150.0,visa,226.0,debit
15986|296.0|185.0|visa|137.0|credit,15986,296.0,185.0,visa,137.0,credit
12884|136.0|150.0|mastercard|224.0|debit,12884,136.0,150.0,mastercard,224.0,debit
16199|481.0|150.0|visa|226.0|credit,16199,481.0,150.0,visa,226.0,credit
22782|142.0|185.0|visa|226.0|credit,22782,142.0,185.0,visa,226.0,credit
10553|555.0|150.0|visa|162.0|credit,10553,555.0,150.0,visa,162.0,credit
22709|527.0|150.0|mastercard|117.0|debit,22709,527.0,150.0,mastercard,117.0,debit
16362|455.0|150.0|mastercard|166.0|debit,16362,455.0,150.0,mastercard,166.0,debit
13688|404.0|150.0|mastercard|102.0|credit,13688,404.0,150.0,mastercard,102.0,credit
17805|471.0|150.0|mastercard|224.0|debit,17805,471.0,150.0,mastercard,224.0,debit
17185|555.0|150.0|visa|226.0|debit,17185,555.0,150.0,visa,226.0,debit
13600|152.0|150.0|visa|226.0|debit,13600,152.0,150.0,visa,226.0,debit
22984|476.0|150.0|visa|166.0|debit,22984,476.0,150.0,visa,166.0,debit
15835|111.0|150.0|visa|226.0|debit,15835,111.0,150.0,visa,226.0,debit
16488|170.0|150.0|visa|226.0|debit,16488,170.0,150.0,visa,226.0,debit
17968|555.0|150.0|visa|226.0|debit,17968,555.0,150.0,visa,226.0,debit
23224|246.0|150.0|visa|226.0|debit,23224,246.0,150.0,visa,226.0,debit
20540|343.0|150.0|visa|166.0|debit,20540,343.0,150.0,visa,166.0,debit
16429|445.0|150.0|mastercard|224.0|debit,16429,445.0,150.0,mastercard,224.0,debit
18167|490.0|150.0|visa|226.0|debit,18167,490.0,150.0,visa,226.0,debit
20714|562.0|150.0|visa|162.0|credit,20714,562.0,150.0,visa,162.0,credit
19725|144.0|150.0|mastercard|195.0|debit,19725,144.0,150.0,mastercard,195.0,debit
22289|555.0|150.0|visa|226.0|debit,22289,555.0,150.0,visa,226.0,debit
14243|399.0|150.0|american express|185.0|credit,14243,399.0,150.0,american express,185.0,credit
16511|174.0|150.0|visa|162.0|credit,16511,174.0,150.0,visa,162.0,credit
16488|476.0|150.0|visa|226.0|debit,16488,476.0,150.0,visa,226.0,debit
16212|353.0|150.0|mastercard|117.0|debit,16212,353.0,150.0,mastercard,117.0,debit
19195|562.0|150.0|mastercard|149.0|credit,19195,562.0,150.0,mastercard,149.0,credit
20506|512.0|150.0|mastercard|117.0|debit,20506,512.0,150.0,mastercard,117.0,debit
11638|321.0|150.0|visa|226.0|debit,11638,321.0,150.0,visa,226.0,debit
19549|550.0|150.0|visa|226.0|debit,19549,550.0,150.0,visa,226.0,debit
21598|225.0|150.0|mastercard|224.0|debit,21598,225.0,150.0,mastercard,224.0,debit
21222|111.0|150.0|visa|226.0|debit,21222,111.0,150.0,visa,226.0,debit
20270|177.0|185.0|mastercard|137.0|credit,20270,177.0,185.0,mastercard,137.0,credit
22121||150.0|visa|166.0|debit,22121,,150.0,visa,166.0,debit
14465|302.0|150.0|visa|226.0|debit,14465,302.0,150.0,visa,226.0,debit
16389|365.0|150.0|visa|226.0|debit,16389,365.0,150.0,visa,226.0,debit
12553|543.0|150.0|mastercard|224.0|debit,12553,543.0,150.0,mastercard,224.0,debit
17715|111.0|150.0|mastercard|224.0|credit,17715,111.0,150.0,mastercard,224.0,credit
12852|290.0|150.0|visa|226.0|debit,12852,290.0,150.0,visa,226.0,debit
21775|583.0|150.0|visa|226.0|credit,21775,583.0,150.0,visa,226.0,credit
17205|543.0|150.0|mastercard|224.0|debit,17205,543.0,150.0,mastercard,224.0,debit
11743|132.0|150.0|visa|226.0|debit,11743,132.0,150.0,visa,226.0,debit
12600|474.0|150.0|visa|226.0|credit,12600,474.0,150.0,visa,226.0,credit
13594|514.0|150.0|mastercard|224.0|debit,13594,514.0,150.0,mastercard,224.0,debit
12425|490.0|150.0|visa|195.0|debit,12425,490.0,150.0,visa,195.0,debit
10383|584.0|150.0|mastercard|102.0|credit,10383,584.0,150.0,mastercard,102.0,credit
18650|442.0|150.0|visa|226.0|debit,18650,442.0,150.0,visa,226.0,debit
10852|555.0|150.0|visa|226.0|debit,10852,555.0,150.0,visa,226.0,debit
12711|182.0|150.0|visa|226.0|debit,12711,182.0,150.0,visa,226.0,debit
17525|459.0|185.0|mastercard|224.0|credit,17525,459.0,185.0,mastercard,224.0,credit
15051|372.0|150.0|mastercard|117.0|debit,15051,372.0,150.0,mastercard,117.0,debit
10381|543.0|150.0|mastercard|224.0|debit,10381,543.0,150.0,mastercard,224.0,debit
12436|399.0|150.0|american express|236.0|credit,12436,399.0,150.0,american express,236.0,credit
18405|||||,18405,,,,,
23292|178.0|150.0|mastercard|224.0|debit,23292,178.0,150.0,mastercard,224.0,debit
22451|555.0|150.0|visa|226.0|debit,22451,555.0,150.0,visa,226.0,debit
22533|532.0|150.0|mastercard|224.0|debit,22533,532.0,150.0,mastercard,224.0,debit
13285|555.0|150.0|visa|226.0|debit,13285,555.0,150.0,visa,226.0,debit
19842|310.0|150.0|mastercard|224.0|debit,19842,310.0,150.0,mastercard,224.0,debit
22748|174.0|150.0|mastercard||credit,22748,174.0,150.0,mastercard,,credit
15986|130.0|185.0|visa|137.0|credit,15986,130.0,185.0,visa,137.0,credit
23194|111.0|150.0|visa|226.0|debit,23194,111.0,150.0,visa,226.0,debit
20065|396.0|150.0|mastercard|224.0|debit,20065,396.0,150.0,mastercard,224.0,debit
13073|562.0|150.0|visa|226.0|credit,13073,562.0,150.0,visa,226.0,credit
17210|562.0|150.0|mastercard|219.0|credit,17210,562.0,150.0,mastercard,219.0,credit
11341|543.0|150.0|mastercard|224.0|debit,11341,543.0,150.0,mastercard,224.0,debit
21514|111.0|150.0|mastercard|195.0|debit,21514,111.0,150.0,mastercard,195.0,debit
15582|396.0|150.0|mastercard|224.0|debit,15582,396.0,150.0,mastercard,224.0,debit
12542|122.0|150.0|mastercard|126.0|debit,12542,122.0,150.0,mastercard,126.0,debit
15897|181.0|150.0|visa|226.0|debit,15897,181.0,150.0,visa,226.0,debit
15925|174.0|150.0|visa|166.0|debit,15925,174.0,150.0,visa,166.0,debit
12283|111.0|150.0|mastercard|224.0|debit,12283,111.0,150.0,mastercard,224.0,debit
15913|298.0|150.0|visa|226.0|debit,15913,298.0,150.0,visa,226.0,debit
22924|369.0|150.0|mastercard|117.0|debit,22924,369.0,150.0,mastercard,117.0,debit
10123|555.0|150.0|mastercard|117.0|debit,10123,555.0,150.0,mastercard,117.0,debit
15785|355.0|150.0|visa|166.0|debit,15785,355.0,150.0,visa,166.0,debit
11468|144.0|150.0|mastercard|224.0|debit,11468,144.0,150.0,mastercard,224.0,debit
11906|583.0|150.0|visa|226.0|credit,11906,583.0,150.0,visa,226.0,credit
21874|369.0|150.0|mastercard|224.0|debit,21874,369.0,150.0,mastercard,224.0,debit
12292|158.0|150.0|visa|226.0|debit,12292,158.0,150.0,visa,226.0,debit
20512|111.0|150.0|visa|226.0|debit,20512,111.0,150.0,visa,226.0,debit
20144|555.0|150.0|visa|226.0|credit,20144,555.0,150.0,visa,226.0,credit
19745|361.0|150.0|visa|226.0|debit,19745,361.0,150.0,visa,226.0,debit
20129|348.0|150.0|mastercard|224.0|credit,20129,348.0,150.0,mastercard,224.0,credit
12947|428.0|150.0|visa|166.0|debit,12947,428.0,150.0,visa,166.0,debit
18137|583.0|150.0|visa|226.0|credit,18137,583.0,150.0,visa,226.0,credit
15649|555.0|150.0|visa|195.0|debit,15649,555.0,150.0,visa,195.0,debit
22949|339.0|150.0|visa|226.0|debit,22949,339.0,150.0,visa,226.0,debit
11941|555.0|150.0|visa|226.0|debit,11941,555.0,150.0,visa,226.0,debit
16930|555.0|150.0|visa|226.0|debit,16930,555.0,150.0,visa,226.0,debit
15239|154.0|150.0|visa|226.0|debit,15239,154.0,150.0,visa,226.0,debit
16300||150.0|discover|102.0|credit,16300,,150.0,discover,102.0,credit
16300|327.0|150.0|discover|223.0|credit,16300,327.0,150.0,discover,223.0,credit
19938|276.0|150.0|visa|226.0|debit,19938,276.0,150.0,visa,226.0,debit
12559|555.0|150.0|visa|226.0|debit,12559,555.0,150.0,visa,226.0,debit
23444|399.0|150.0|american express|198.0|credit,23444,399.0,150.0,american express,198.0,credit
20135|251.0|150.0|visa|226.0|debit,20135,251.0,150.0,visa,226.0,debit
10519|383.0|150.0|visa|226.0|debit,10519,383.0,150.0,visa,226.0,debit
19826|460.0|150.0|mastercard|224.0|debit,19826,460.0,150.0,mastercard,224.0,debit
15056|170.0|150.0|visa|226.0|credit,15056,170.0,150.0,visa,226.0,credit
17071|102.0|150.0|mastercard|117.0|debit,17071,102.0,150.0,mastercard,117.0,debit
15626|480.0|150.0|mastercard|224.0|debit,15626,480.0,150.0,mastercard,224.0,debit
15702|181.0|150.0|visa|226.0|credit,15702,181.0,150.0,visa,226.0,credit
15023|399.0|150.0|american express|223.0|credit,15023,399.0,150.0,american express,223.0,credit
18472|555.0|150.0|mastercard|117.0|debit,18472,555.0,150.0,mastercard,117.0,debit
20768|555.0|150.0|mastercard|117.0|debit,20768,555.0,150.0,mastercard,117.0,debit
12156|555.0|150.0|visa|226.0|credit,12156,555.0,150.0,visa,226.0,credit
16167|543.0|150.0|mastercard|224.0|debit,16167,543.0,150.0,mastercard,224.0,debit
16429|199.0|150.0|mastercard|224.0|debit,16429,199.0,150.0,mastercard,224.0,debit
17708|400.0|150.0|mastercard|224.0|debit,17708,400.0,150.0,mastercard,224.0,debit
22756|452.0|150.0|mastercard|117.0|debit,22756,452.0,150.0,mastercard,117.0,debit
19061|111.0|150.0|visa|226.0|debit,19061,111.0,150.0,visa,226.0,debit
20779|399.0|150.0|american express|236.0|credit,20779,399.0,150.0,american express,236.0,credit
12286|225.0|150.0|mastercard|224.0|debit,12286,225.0,150.0,mastercard,224.0,debit
15609|555.0|150.0|visa|226.0|debit,15609,555.0,150.0,visa,226.0,debit
15931|253.0|150.0|mastercard|224.0|debit,15931,253.0,150.0,mastercard,224.0,debit
14089|327.0|150.0|discover|224.0|credit,14089,327.0,150.0,discover,224.0,credit
10081|555.0|150.0|visa|226.0|debit,10081,555.0,150.0,visa,226.0,debit
14364|321.0|150.0|visa|226.0|debit,14364,321.0,150.0,visa,226.0,debit
11657|555.0|150.0|visa|226.0|debit,11657,555.0,150.0,visa,226.0,debit
20825|555.0|150.0|visa|226.0|debit,20825,555.0,150.0,visa,226.0,debit
20879|343.0|150.0|visa|226.0|credit,20879,343.0,150.0,visa,226.0,credit
20556|225.0|150.0|mastercard|219.0|credit,20556,225.0,150.0,mastercard,219.0,credit
21754|490.0|150.0|visa|226.0|debit,21754,490.0,150.0,visa,226.0,debit
18913|528.0|150.0|visa|226.0|credit,18913,528.0,150.0,visa,226.0,credit
19900|555.0|150.0|visa|226.0|debit,19900,555.0,150.0,visa,226.0,debit
23494|321.0|150.0|visa|226.0|credit,23494,321.0,150.0,visa,226.0,credit
10800|562.0|150.0|mastercard|219.0|credit,10800,562.0,150.0,mastercard,219.0,credit
11520|476.0|150.0|visa|126.0|debit,11520,476.0,150.0,visa,126.0,debit
11304|302.0|150.0|visa|226.0|debit,11304,302.0,150.0,visa,226.0,debit
15399|555.0|150.0|visa|226.0|debit,15399,555.0,150.0,visa,226.0,debit
16857|385.0|150.0|visa|226.0|debit,16857,385.0,150.0,visa,226.0,debit
20216|108.0|150.0|mastercard|117.0|debit,20216,108.0,150.0,mastercard,117.0,debit
18727|111.0|150.0|visa|162.0|credit,18727,111.0,150.0,visa,162.0,credit
22914|194.0|150.0|mastercard|166.0|debit,22914,194.0,150.0,mastercard,166.0,debit
13090|361.0|150.0|visa|226.0|credit,13090,361.0,150.0,visa,226.0,credit
20951|322.0|150.0|visa|195.0|debit,20951,322.0,150.0,visa,195.0,debit
10190|314.0|150.0|mastercard|224.0|debit,10190,314.0,150.0,mastercard,224.0,debit
15845|555.0|150.0|mastercard|224.0|debit,15845,555.0,150.0,mastercard,224.0,debit
20146|555.0|150.0|visa|226.0|debit,20146,555.0,150.0,visa,226.0,debit
21961|490.0|150.0|visa|226.0|debit,21961,490.0,150.0,visa,226.0,debit
17583|161.0|150.0|mastercard|117.0|debit,17583,161.0,150.0,mastercard,117.0,debit
20771|399.0|150.0|american express|150.0|credit,20771,399.0,150.0,american express,150.0,credit
20464|562.0|150.0|mastercard|102.0|credit,20464,562.0,150.0,mastercard,102.0,credit
18042|176.0|185.0|mastercard|224.0|debit,18042,176.0,185.0,mastercard,224.0,debit
18038|481.0|150.0|mastercard|102.0|credit,18038,481.0,150.0,mastercard,102.0,credit
22606|507.0|150.0|visa|226.0|credit,22606,507.0,150.0,visa,226.0,credit
13815|567.0|150.0|visa|228.0|credit,13815,567.0,150.0,visa,228.0,credit
15633|100.0|150.0|visa|226.0|credit,15633,100.0,150.0,visa,226.0,credit
13679|367.0|150.0|mastercard|224.0|credit,13679,367.0,150.0,mastercard,224.0,credit
12850|555.0|150.0|visa|226.0|debit,12850,555.0,150.0,visa,226.0,debit
16731||150.0|visa|226.0|debit,16731,,150.0,visa,226.0,debit
11732|535.0|150.0|visa|226.0|debit,11732,535.0,150.0,visa,226.0,debit
20629|555.0|150.0|visa|226.0|debit,20629,555.0,150.0,visa,226.0,debit
11395|555.0|150.0|mastercard|224.0|debit,11395,555.0,150.0,mastercard,224.0,debit
10401|111.0|150.0|mastercard|224.0|debit,10401,111.0,150.0,mastercard,224.0,debit
10513|357.0|150.0|visa|226.0|debit,10513,357.0,150.0,visa,226.0,debit
11653|415.0|185.0|mastercard|195.0|credit,11653,415.0,185.0,mastercard,195.0,credit
22554|111.0|150.0|visa|162.0|credit,22554,111.0,150.0,visa,162.0,credit
19146|512.0|150.0|visa|226.0|debit,19146,512.0,150.0,visa,226.0,debit
17326|111.0|150.0|visa|195.0|credit,17326,111.0,150.0,visa,195.0,credit
19317|262.0|150.0|visa|226.0|debit,19317,262.0,150.0,visa,226.0,debit
12228||150.0|visa|226.0|credit,12228,,150.0,visa,226.0,credit
23504|478.0|150.0|visa|226.0|credit,23504,478.0,150.0,visa,226.0,credit
11132|485.0|150.0|mastercard|229.0|debit,11132,485.0,150.0,mastercard,229.0,debit
18118|225.0|150.0|mastercard|117.0|debit,18118,225.0,150.0,mastercard,117.0,debit
10049|237.0|150.0|mastercard|224.0|debit,10049,237.0,150.0,mastercard,224.0,debit
10626|500.0|185.0|mastercard|224.0|credit,10626,500.0,185.0,mastercard,224.0,credit
22848|475.0|150.0|visa|226.0|debit,22848,475.0,150.0,visa,226.0,debit
15626|512.0|150.0|mastercard|224.0|debit,15626,512.0,150.0,mastercard,224.0,debit
12100|545.0|185.0|visa|226.0|credit,12100,545.0,185.0,visa,226.0,credit
22029|184.0|150.0|visa|226.0|debit,22029,184.0,150.0,visa,226.0,debit
11004|371.0|150.0|visa|226.0|credit,11004,371.0,150.0,visa,226.0,credit
13071|196.0|150.0|visa|226.0|debit,13071,196.0,150.0,visa,226.0,debit
17155|555.0|150.0|visa|226.0|debit,17155,555.0,150.0,visa,226.0,debit
16868|555.0|150.0|visa|226.0|debit,16868,555.0,150.0,visa,226.0,debit
18266||150.0|visa|226.0|debit,18266,,150.0,visa,226.0,debit
21122|533.0|150.0|mastercard|224.0|debit,21122,533.0,150.0,mastercard,224.0,debit
20395|111.0|150.0|visa|226.0|debit,20395,111.0,150.0,visa,226.0,debit
23455|553.0|150.0|visa|226.0|debit,23455,553.0,150.0,visa,226.0,debit
15367|462.0|150.0|visa|226.0|debit,15367,462.0,150.0,visa,226.0,debit
10651|555.0|150.0|visa|226.0|debit,10651,555.0,150.0,visa,226.0,debit
21826|332.0|150.0|visa|226.0|debit,21826,332.0,150.0,visa,226.0,debit
20116|399.0|150.0|american express|185.0|credit,20116,399.0,150.0,american express,185.0,credit
10642|170.0|150.0|mastercard|102.0|credit,10642,170.0,150.0,mastercard,102.0,credit
13540|512.0|150.0|visa|226.0|debit,13540,512.0,150.0,visa,226.0,debit
20446|476.0|150.0|visa|166.0|debit,20446,476.0,150.0,visa,166.0,debit
18385|350.0|150.0|visa|226.0|debit,18385,350.0,150.0,visa,226.0,debit
10076|532.0|150.0|mastercard|224.0|debit,10076,532.0,150.0,mastercard,224.0,debit
16401|555.0|150.0|visa|226.0|debit,16401,555.0,150.0,visa,226.0,debit
18634|531.0|150.0|mastercard|229.0|debit,18634,531.0,150.0,mastercard,229.0,debit
23286|302.0|150.0|visa|226.0|debit,23286,302.0,150.0,visa,226.0,debit
12616|399.0|150.0|american express|137.0|credit,12616,399.0,150.0,american express,137.0,credit
20268|555.0|150.0|visa|226.0|debit,20268,555.0,150.0,visa,226.0,debit
13514|321.0|150.0|visa|195.0|credit,13514,321.0,150.0,visa,195.0,credit
13924|555.0|150.0|mastercard|117.0|debit,13924,555.0,150.0,mastercard,117.0,debit
14042|555.0|117.0|american express|166.0|debit,14042,555.0,117.0,american express,166.0,debit
20674|225.0|150.0|mastercard|219.0|credit,20674,225.0,150.0,mastercard,219.0,credit
15132|555.0|150.0|mastercard|219.0|credit,15132,555.0,150.0,mastercard,219.0,credit
